a-b-firmware-image-update | A/B Firmware Image Update | aka: dual-bank firmware update, A/B partitions, seamless update, golden image / rollback (variants) | embedded-systems
include-guard | Include Guard | aka: header guard, #pragma once (non-standard alternative) | code-structure
inheritance-mappers | Inheritance Mappers | aka:  | persistence-durability
inline-caching | Inline Caching | aka: monomorphic inline cache, polymorphic inline cache, PIC, megamorphic cache (degenerate case) | caching-memoization
interceptor | Interceptor | aka:  | oo-patterns
interest-management | Interest Management | aka: area-of-interest management, AoI filtering, relevance filtering, data distribution management (HLA DDM), scoping / ghost scoping (Tribes) | communication
interior-mutability | Interior Mutability | aka: Cell/RefCell pattern, shared mutability behind immutable references | state-management
interpreter | Interpreter | aka:  | oo-patterns
interrupt-coalescing | Interrupt Coalescing | aka: interrupt moderation, interrupt throttling, interrupt blanking, interrupt mitigation | scheduling-time
interrupt-masking-critical-section | Interrupt-Masking Critical Section | aka: disabling interrupts, interrupt lock, PRIMASK/BASEPRI critical section | synchronization-coordination
interrupt-service-routine | Interrupt Service Routine | aka: Interrupt Pattern, ISR, interrupt handler | embedded-systems
interrupt-vector-table | Interrupt Vector Table | aka: IVT, vector table, exception vector table | embedded-systems
interval-arithmetic | Interval Arithmetic | aka: interval analysis, interval computation, directed rounding intervals, validated numerics (field name) | numeric-precision
interval-tree | Interval Tree | aka: augmented interval tree, centered interval tree | data-structures
introspective-interface | Introspective Interface | aka:  | construction-api
inverted-index | Inverted Index | aka: postings list, inverted file | data-structures
iohw-h-standard-hardware-i-o-interface | iohw.h Standard Hardware I/O Interface | aka: <iohw.h>, standard I/O hardware addressing interface | embedded-systems
iterator | Iterator | aka: Cursor, database cursor, scrollable cursor, result-set iterator, cursor iterator | oo-patterns
jitter-buffer | Jitter Buffer | aka: playout buffer, de-jitter buffer, playout delay buffer, adaptive jitter buffer | data-flow-buffering
job-system | Job System | aka: task graph, job scheduler, fiber-based job system, task-based parallelism (engine form), job kernel | execution-concurrency
k-d-tree | k-d Tree | aka: k-dimensional tree | data-structures
kahan-summation | Kahan Summation | aka: compensated summation, Kahan summation algorithm, Kahan-Babuška summation (variant), Neumaier summation (variant) | numeric-precision
lag-compensation | Lag Compensation | aka: server-side rewind, backward reconciliation, lag-compensated hit detection, favor the shooter | state-management
latch | Latch | aka: countdown latch, gate, one-shot barrier | synchronization-coordination
layer-supertype | Layer Supertype | aka:  | oo-patterns
lazy-cleanup | Lazy Cleanup | aka: no explicit deallocation, let the OS reclaim at exit | resource-management
leader-followers | Leader/Followers | aka:  | execution-concurrency
leaky-bucket | Leaky Bucket | aka: leaky bucket algorithm, traffic shaper queue, leaky bucket as a meter/queue | scheduling-time
leaky-bucket-counter | Leaky Bucket Counter | aka: decaying error counter | error-handling
leasing | Leasing | aka: Lease, time-bounded lock, expiring grant | resource-management
length-prefix-framing | Length-Prefix Framing | aka: length-delimited encoding, length field framing, netstring, Pascal string (length-prefixed string) | serialization-framing
lens | Lens | aka: optics, functional reference, prism, traversal | functional-type-idioms
let-it-crash | Let It Crash | aka: crash-only software, fail and restart | error-handling
level-of-detail | Level of Detail | aka: LOD, discrete LOD, continuous LOD (variant) | data-representation
lexer | Lexer | aka: lexical analyzer, tokenizer, scanner | parsing-text
lifecycle-callback | Lifecycle Callback | aka: Lifecycle Hooks | construction-api
limited-view | Limited View | aka: Limited Access | robustness-security
linked-list | Linked List | aka: singly linked list, doubly linked list, circular linked list, unrolled linked list (variant) | data-structures
list-virtualization | List Virtualization | aka: UI virtualization, virtual scrolling, view recycling | resource-management
load-shedding | Load Shedding | aka: Shed Load | data-flow-buffering
lock-escalation | Lock Escalation | aka: lock promotion to coarser granularity | synchronization-coordination
lock-free-fifo-queue-michael-scott | Lock-Free FIFO Queue (Michael-Scott) | aka: Michael-Scott queue, MS queue, nonblocking concurrent queue | data-structures
lock-free-stack-treiber | Lock-Free Stack (Treiber) | aka: Treiber stack, nonblocking LIFO, IBM freelist | data-structures
lock-striping | Lock Striping | aka: striped locking, lock splitting (coarser sibling), striped locks, lock splitting (finer-grained variant), segmented locking | synchronization-coordination
log-errors | Log Errors | aka: error logging, diagnostic error logging channel | error-handling
log-structured-storage | Log-Structured Storage | aka: log-structured file system, LFS, append-only storage with segment cleaning, segment cleaning, copy-forward garbage collection, journal-structured storage | persistence-durability
logical-clock | Logical Clock | aka: Lamport clock, Lamport timestamp, vector clock, version vector, hybrid logical clock (HLC) | synchronization-coordination
lookup | Lookup | aka:  | resource-management
lookup-table | Lookup Table | aka: LUT, precomputed table, interpolated lookup table (variant) | caching-memoization
loop-parallelism | Loop Parallelism | aka: parallel loop, parallel-for | execution-concurrency
loop-timeout | Loop Timeout | aka: hardware timeout (timer-based variant), timeout-protected polling loop | error-handling
lr-parser | LR Parser | aka: shift-reduce parser, bottom-up parser, table-driven parser, LALR / SLR parser (table-construction variants), yacc/bison-generated parser, GLR (generalized variant, folded) | parsing-text
lru-cache | LRU Cache | aka: least-recently-used cache | caching-memoization
lsm-tree | LSM Tree | aka: log-structured merge-tree, memtable + SSTable | data-structures
magic-number-file-signature | Magic Number (File Signature) | aka: file signature, magic bytes, format identifier, byte-order mark (text-encoding variant) | serialization-framing
mailbox | Mailbox | aka: message mailbox, actor mailbox | communication
mapper | Mapper | aka:  | oo-patterns
marked-data | Marked Data | aka: data poisoning flag, corrupt-data marking | error-handling
marker-interface | Marker Interface | aka: tag interface, marker annotation (successor form), tagging interface | oo-patterns
master-slave | Master-Slave | aka: Master-Worker, master-slave (parallel form), manager-workers, task farm, work farm | execution-concurrency
maximal-munch | Maximal Munch | aka: longest match rule, longest-prefix tokenization, maximal munch tokenization, longest lexeme rule | parsing-text
mcs-queue-lock | MCS Queue Lock | aka: MCS lock, queue-based spinlock, CLH lock (variant), qspinlock | synchronization-coordination
meaningless-behavior | Meaningless Behavior | aka: let meaningless computations fail quietly | error-handling
mediator | Mediator | aka:  | oo-patterns
memento | Memento | aka: Token | oo-patterns
memoization | Memoization | aka: memo function, tabling, function result caching | caching-memoization
memory-arena | Memory Arena | aka: arena allocator, region-based memory management, region allocator, bump allocator, linear allocator, frame allocator, obstack | resource-management
memory-barrier | Memory Barrier | aka: memory fence, smp_mb, full fence, store/load barrier | synchronization-coordination
memory-discard | Memory Discard | aka: region allocation, arena discard, scratch workspace | resource-management
memory-image | Memory Image | aka: system prevalence, object prevalence, prevalent system (Prevayler) | persistence-durability
memory-limit | Memory Limit | aka: memory budget, per-component quota | resource-management
memory-mapped-file-i-o | Memory-Mapped File I/O | aka: mmap, file mapping, memory-mapped I/O (file) | data-flow-buffering
memory-mapped-register-access | Memory-Mapped Register Access | aka: memory-mapped I/O access, device register access in C, volatile register access, bit-banding (Cortex-M alias variant), MMIO device modeling, memory-mapped device access, volatile register struct | embedded-systems
memory-overlay | Memory Overlay | aka: overlays, code overlaying, overlay manager, code overlay, overlay description | resource-management
memory-poisoning | Memory Poisoning | aka: poison values, fill patterns, magic debug values, page poisoning, slab poisoning, 0xDEADBEEF fill, use-after-free poisoning | robustness-security
merkle-tree | Merkle Tree | aka: hash tree | data-structures
message | Message | aka: command message, document message, event message | communication
message-authentication-code | Message Authentication Code | aka: MAC, HMAC, keyed hash, authentication tag | robustness-security
message-dispatcher | Message Dispatcher | aka:  | communication
message-expiration | Message Expiration | aka: message TTL, time-to-live | communication
message-filter | Message Filter | aka:  | communication
message-queue | Message Queue | aka: Queuing Pattern, message queue, point-to-point channel, FIFO message queue, event queue, event buffer | communication
metadata-mapping | Metadata Mapping | aka:  | persistence-durability
method-object | Method Object | aka: Replace Method with Method Object (Fowler, Refactoring), worker object, Replace Function with Command (Fowler, Refactoring 2nd ed.) | code-structure
methods-for-states | Methods for States | aka:  | state-management
minhash | MinHash | aka: min-wise independent permutations, MinHash LSH (composition) | data-structures
mixin | Mixin | aka: mixin class, parameterized base class (C++ realization), flavors (historical) | oo-patterns
module-pattern | Module Pattern | aka: revealing module pattern | functional-type-idioms
monad | Monad | aka: computation builder, Kleisli triple | functional-type-idioms
money | Money | aka:  | numeric-precision
monitor-object | Monitor Object | aka: Monitor, synchronized object | synchronization-coordination
monostate | Monostate | aka: Borg pattern (Python) | oo-patterns
multi-granularity-locking | Multi-Granularity Locking | aka: intention locks, intent locks, hierarchical locking, MGL | synchronization-coordination
multi-state-task | Multi-State Task | aka: state-machine task, non-blocking task decomposition | execution-concurrency
multiple-event-receptor | Multiple Event Receptor | aka: multiple event receptor state machine | state-management
multiple-representations | Multiple Representations | aka:  | data-representation
multiton | Multiton | aka: registry of singletons | oo-patterns
multiversion-concurrency-control | Multiversion Concurrency Control | aka: MVCC, multi-version concurrency control, versioned records | synchronization-coordination
n-version-programming | N-Version Programming | aka: multiversion programming, design diversity with voting | error-handling
nagle-s-algorithm | Nagle's Algorithm | aka: small-packet avoidance, tinygram avoidance, TCP_NODELAY (disable knob) | communication
named-parameter-idiom | Named Parameter Idiom | aka: method chaining for parameters, named parameters via proxy object | construction-api
navigation-mesh | Navigation Mesh | aka: navmesh, walkable-surface mesh | data-structures
negative-caching | Negative Caching | aka: negative cache, negative result caching, caching of misses/failures, negative TTL, DNS NCACHE, nonexistence caching | caching-memoization
nested-interrupt-handling | Nested Interrupt Handling | aka: interrupt nesting, preemptive interrupt priorities | execution-concurrency
network-byte-order-handling | Network Byte Order Handling | aka: endianness conversion, big-endian wire order, htons/ntohl idiom, byte swapping | serialization-framing
newtype | Newtype | aka: wrapper type, strong typedef (C++), tiny types, whole value (related CHECKS pattern), strong typedef, micro type | data-representation
nifty-counter | Nifty Counter | aka: Schwarz counter | construction-api
non-virtual-interface-nvi | Non-Virtual Interface (NVI) | aka: template method idiom for C++, public non-virtual, private virtual | oo-patterns
nonce | Nonce | aka: number used once, anti-replay counter (monotonic variant), challenge value (challenge-response usage) | robustness-security
notification | Notification | aka: error-collecting parameter object | error-handling
null-object | Null Object | aka: Active Nothing | oo-patterns
object-manager | Object Manager | aka:  | resource-management
object-mother | Object Mother | aka:  | testing-constructs
object-orientation-in-c | Object Orientation in C | aka: inheritance by structure extension, dynamic linkage, vtable in C, generic functions via function pointers | oo-patterns
object-recursion | Object Recursion | aka: recursive delegation over polymorphic structure | oo-patterns
observable-streams | Observable Streams | aka: Rx Observable, reactive streams, event streams, observable sequences | communication
observer | Observer | aka: Dependents, Publish-Subscribe, Publisher-Subscriber, Pub-Sub, listener, publish-subscribe (in-process) | oo-patterns
one-s-complement-data-storage | One's Complement Data Storage | aka: One's Complement Pattern, inverted duplicate storage | robustness-security
oo-in-c-via-explicit-vtable | OO in C via Explicit Vtable | aka: virtual function table in C, class emulation in C, poor man's objects | oo-patterns
opaque-pointer | Opaque Pointer | aka: opaque handle, incomplete type idiom, Handle (Fluent C), pimpl in C, First-Class ADT, first-class abstract data type, opaque instance-based module, Opaque Type, handle-based interface | data-representation
operational-transformation | Operational Transformation | aka: OT, dOPT (original algorithm) | synchronization-coordination
optimistic-concurrency-control | Optimistic Concurrency Control | aka: OCC, optimistic concurrency control, optimistic locking, validate-then-commit, validation-based concurrency control, version validation | synchronization-coordination
optimistic-offline-lock | Optimistic Offline Lock | aka:  | synchronization-coordination
optimistic-ui-update | Optimistic UI Update | aka: optimistic updates | state-management
option-type | Option Type | aka: Maybe type, Optional, nullable type | functional-type-idioms
ordered-locking | Ordered Locking | aka: lock ordering, lock hierarchy, resource ordering | synchronization-coordination
organizing-files-in-modular-c-programs | Organizing Files in Modular C Programs | aka: header/implementation file organization, self-contained component files | code-structure
orthogonal-component | Orthogonal Component | aka: orthogonal component state pattern | state-management
out-parameters | Out-Parameters | aka: output arguments, result via pointer parameter | construction-api
packed-data | Packed Data | aka: bit packing, bit-fields, struct packing | data-representation
packrat-parsing | Packrat Parsing | aka: PEG parsing, memoized recursive descent, parsing expression grammar parser | parsing-text
page-object | Page Object | aka: Window Driver (Fowler's earlier eaaDev name), page object model (POM, Selenium usage) | testing-constructs
paging | Paging | aka: data paging, demand paging (application-level) | resource-management
panic-mode-error-recovery | Panic-Mode Error Recovery | aka: error synchronization, synchronizing tokens, error productions (related technique) | parsing-text
parallel-reduction | Parallel Reduction | aka: reduce (parallel pattern), reduction tree, tree reduction, parallel aggregation, combiner with associative operator | execution-concurrency
parameterized-query | Parameterized Query | aka: prepared statement, bind variables, placeholders, query parameterization | robustness-security
parameterized-test | Parameterized Test | aka: table-driven tests (Go), data-driven test, test parameterization, row test | testing-constructs
parser-combinator | Parser Combinator | aka: combinator parsing, monadic parsing, monadic parser | parsing-text
partial-acquisition | Partial Acquisition | aka:  | resource-management
pax-page-layout | PAX Page Layout | aka: PAX, Partition Attributes Across, cache-conscious page layout, columnar page layout, hybrid row/column page layout | data-representation
percent-encoding | Percent-Encoding | aka: URL encoding, URI escaping | serialization-framing
persistent-data-structure | Persistent Data Structure | aka: immutable data structure, structural sharing, purely functional data structure | data-structures
pessimistic-offline-lock | Pessimistic Offline Lock | aka:  | synchronization-coordination
phantom-type | Phantom Type | aka: phantom type parameter, marker type parameter | functional-type-idioms
pid-controller | PID Controller | aka: PID control loop, proportional-integral-derivative controller, PI / PD controller (reduced forms), discrete PID with anti-windup | embedded-systems
piece-table | Piece Table | aka: piece chain, piece tree (VS Code variant) | data-structures
ping-pong-buffer | Ping-Pong Buffer | aka: ping-pong buffering, buffer role swapping | data-flow-buffering
pipeline-parallelism | Pipeline Parallelism | aka: pipeline pattern, software pipeline, pipelining | execution-concurrency
pluggable-selector | Pluggable Selector | aka: pluggable behavior (umbrella), pluggable block (closure variant), stored method selector | oo-patterns
plugin | Plugin | aka:  | construction-api
pointer-check | Pointer Check | aka: NULL-after-free discipline, explicit pointer invalidation and check | robustness-security
pointer-swizzling | Pointer Swizzling | aka: swizzling, unswizzling (inverse), swizzling at page-fault time (eager variant), lazy swizzling | data-representation
pointer-tagging | Pointer Tagging | aka: tagged pointer, tag bits, immediate values, small-integer tagging (Smi), NaN-boxing (NaN-payload variant), NuN-boxing / pointer boxing (variants) | data-representation
policy-based-design | Policy-Based Design | aka: policy classes, policies | oo-patterns
polling | Polling | aka: periodic polling, opportunistic polling, busy-wait polling, Polled I/O, status-flag polling, programmed I/O | embedded-systems
polling-consumer | Polling Consumer | aka: synchronous receiver | communication
pool-allocation | Pool Allocation | aka: memory pool, fixed-block allocator, block pool, Pooled Allocation, pool allocator, fixed-size-block allocation, partition allocator, memory slab (Zephyr k_mem_slab) | resource-management
pooling | Pooling | aka: Resource Pool, Object Pool, Connection Pool, pool | resource-management
pratt-parser | Pratt Parser | aka: top-down operator precedence parser, operator-precedence parser, precedence climbing | parsing-text
prefetching | Prefetching | aka: readahead, read-ahead, anticipatory fetching, sequential prefetch | caching-memoization
pretty-printer | Pretty-Printer | aka: prettyprinting, code formatter, unparser | parsing-text
priority-ceiling-protocol | Priority Ceiling Protocol | aka: Priority Ceiling Pattern, PCP, Highest Locker Pattern, immediate priority ceiling protocol, highest locker protocol, immediate ceiling priority protocol | synchronization-coordination
priority-inheritance-protocol | Priority Inheritance Protocol | aka: priority inheritance, PIP | synchronization-coordination
private-class-data | Private Class Data | aka:  | oo-patterns
privilege-bracketing | Privilege Bracketing | aka: privilege drop/restore, temporary privilege elevation, drop privileges, seteuid bracketing | robustness-security
privilege-separation | Privilege Separation | aka: privsep, privileged monitor / unprivileged worker split, OpenSSH privilege separation | robustness-security
proactor | Proactor | aka:  | execution-concurrency
producer-consumer | Producer-Consumer | aka: bounded buffer, producer-consumer queue | communication
product-trader | Product Trader | aka: creation by specification | construction-api
program-sequence-monitoring | Program Sequence Monitoring | aka: control flow monitoring, logical program flow monitoring, logical supervision (AUTOSAR WdgM), control flow checking | robustness-security
property-based-testing | Property-Based Testing | aka: QuickCheck-style testing, generative testing, property testing, random testing with shrinking, generators and shrinkers | testing-constructs
protected-single-channel | Protected Single Channel | aka:  | robustness-security
protothread | Protothreads | aka: stackless threads, local continuations, local-continuation threads | execution-concurrency
prototype | Prototype | aka: clone, Virtual Constructor (C++ clone idiom usage) | oo-patterns
proxy | Proxy | aka: Surrogate, Virtual Proxy, Remote Proxy, Protection Proxy, Counting Proxy, Lazy Acquisition, Lazy Initialization, Lazy Load, ghost, value holder, lazy instantiation, initialization-on-demand holder idiom (Java) | oo-patterns
pseudorandom-number-generator | Pseudorandom Number Generator | aka: PRNG, seeded random generator, deterministic random source, LCG / Mersenne Twister / xorshift / PCG (algorithm variants, folded) | numeric-precision
publish-subscribe-channel | Publish-Subscribe Channel | aka: pub-sub channel, topic | communication
quadtree-octree | Quadtree / Octree | aka: octree (3D analogue), region quadtree, point quadtree, loose octree (variant) | data-structures
quantity | Quantity | aka: measure, amount with unit | data-representation
quarantine | Quarantine | aka: fault isolation of a unit | error-handling
query-object | Query Object | aka:  | persistence-durability
queue-fifo | Queue (FIFO) | aka: FIFO, first-in-first-out queue | data-structures
r-tree | R-tree | aka: R*-tree (variant), Hilbert R-tree (variant) | data-structures
raii-resource-acquisition-is-initialization | RAII (Resource Acquisition Is Initialization) | aka: scope-bound resource management, RAII guard (Rust), constructor acquires, destructor releases (CADRe), RAII, Resource Acquisition Is Initialization | resource-management
railway-oriented-programming | Railway-Oriented Programming | aka: two-track error handling, Result chaining, Kleisli composition of Results | error-handling
range | Range | aka: interval object | data-representation
reactive-programming | Reactive Programming | aka: reactive programming model, dataflow-style change propagation | data-flow-buffering
reactive-signals | Signals (fine-grained reactivity) | aka: reactive signals, observable values with dependency tracking, computed/derivations, reactive primitives | state-management
reactor | Reactor | aka: Dispatcher, Notifier | execution-concurrency
read-copy-update | Read-Copy-Update | aka: RCU, quiescent-state-based reclamation, QSBR | synchronization-coordination
read-eval-print-loop | Read-Eval-Print Loop | aka: REPL, interactive interpreter, language shell | parsing-text
read-only-memory | Read-Only Memory | aka: ROMable data, const-in-ROM | resource-management
read-through-cache | Read-Through Cache | aka: read-through caching | caching-memoization
readers-writer-lock | Readers-Writer Lock | aka: read-write lock, shared-exclusive lock, RW lock | synchronization-coordination
record-set | Record Set | aka:  | data-representation
recovery-blocks | Recovery Blocks | aka: recovery block scheme | error-handling
recursive-descent-parser | Recursive Descent Parser | aka: predictive parser (LL(1) special case) | parsing-text
reentrant-lock | Reentrant Lock | aka: recursive lock, recursive mutex | synchronization-coordination
reference-counting | Reference Counting | aka: Counted Body, Counted Pointer, Counting Handle, Reference Counting idiom, automatic reference counting (ARC), counted body, intrusive reference counting, refcounting, reference-counted handle/body, shared_ptr semantics | resource-management
reference-monitor | Reference Monitor | aka: security kernel (hardened realization), policy enforcement point / policy decision point (operational split), Controlled Object Monitor (object-level variant) | robustness-security
refresh-ahead-cache | Refresh-Ahead Cache | aka: refresh-ahead caching, proactive refresh | caching-memoization
registry | Registry | aka:  | oo-patterns
regular-expressions | Regular Expressions | aka: regex, regexp, pattern matching over text | parsing-text
relationship-object | Relationship Object | aka: association object, relationship as full object, reified relationship | data-representation
reminder | Reminder | aka: reminder event | state-management
remote-procedure-call | Remote Procedure Call | aka: RPC, Remote Method Call Pattern, remote method invocation | communication
render-graph | Render Graph | aka: frame graph, FrameGraph, render dependency graph (RDG) | data-flow-buffering
rendezvous | Rendezvous | aka: barrier synchronization, synchronization point, extended rendezvous, entry call/accept, Barrier, cyclic barrier, phase barrier | synchronization-coordination
repository | Repository | aka:  | persistence-durability
request-reply | Request-Reply | aka: request-response | communication
resequencer | Resequencer | aka:  | data-flow-buffering
resource-files | Resource Files | aka: resource bundle, on-demand configuration loading | resource-management
resource-lifecycle-manager | Resource Lifecycle Manager | aka: RLM | resource-management
restart | Restart | aka: microreboot, component restart | error-handling
restartable-sequences | Restartable Sequences | aka: rseq, per-CPU critical sections | execution-concurrency
result-type | Result Type | aka: Either type, Try, error union, error object, status_code error object, expected, outcome, object-based error handling | error-handling
retained-mode-gui | Retained-Mode GUI | aka: retained mode, scene-graph GUI | construction-api
retry-budget | Retry Budget | aka: retry ratio cap, per-client retry quota | error-handling
retry-with-exponential-backoff-and-jitter | Retry with Exponential Backoff and Jitter | aka: exponential backoff, truncated binary exponential backoff, retry with jitter | error-handling
return-address | Return Address | aka: reply-to | communication
return-status-code | Return Status Code | aka: error code return convention, errno-style status (related convention), return relevant errors, error code convention, errno-style error reporting, status return convention | error-handling
riding-over-transients | Riding Over Transients | aka: transient fault filtering | error-handling
ring-buffer | Ring Buffer | aka: circular buffer, circular queue, cyclic buffer | data-flow-buffering
role-based-access-control | Role-Based Access Control | aka: RBAC, Roles (Yoder & Barcalow), role hierarchy, roles as privilege groups | robustness-security
role-object | Role Object | aka:  | oo-patterns
roll-forward | Roll-Forward | aka: forward error recovery | error-handling
rollback | Rollback | aka: backward error recovery | error-handling
rollback-netcode | Rollback Netcode | aka: rollback networking, GGPO-style netcode, predict-and-rollback, speculative execution netcode | state-management
rope | Rope | aka: cord | data-structures
round-robin-scheduling | Round Robin Scheduling | aka: time-slicing | scheduling-time
row-data-gateway | Row Data Gateway | aka:  | persistence-durability
rule-of-three-five-zero | Rule of Three/Five/Zero | aka: rule of three, rule of five, rule of zero, rule of the big four (and a half) | resource-management
rules-engine | Rules Engine | aka: production rule system, business rules engine, inference engine (forward-chaining), Rete-based rule engine (realization) | state-management
run-length-encoding | Run-Length Encoding | aka: RLE, run-length compression | serialization-framing
run-to-completion-event-processing | Run-to-Completion Event Processing | aka: RTC step, run-to-completion semantics | state-management
safe-publication | Safe Publication | aka: safe object publication | synchronization-coordination
safe-state | Safe State | aka: fail-safe state, safe state transition | error-handling
safepoint | Safepoint | aka: GC point, GC-safe point, safepoint poll (polling-page / poll-instruction mechanism), stop-the-world synchronization point, yieldpoint (generalized form) | synchronization-coordination
salted-password-hashing | Salted Password Hashing | aka: salt, key stretching, adaptive one-way function, password-based key derivation (PBKDF2/bcrypt/scrypt/Argon2 realizations) | robustness-security
samurai-principle | Samurai Principle | aka: return victorious or not at all, crash early (related, Pragmatic Programmer) | error-handling
sandwich-delay | Sandwich Delay | aka: fixed-duration code section, jitter-equalizing delay | scheduling-time
sanity-check | Sanity Check | aka: reasonableness check, plausibility check, Runtime Assertion, assert, invariant check, Assertion, runtime contract check | robustness-security
saturation-arithmetic | Saturation Arithmetic | aka: saturating arithmetic, clamped arithmetic | numeric-precision
scannerless-parsing | Scannerless Parsing | aka: scannerless generalized-LR parsing, SGLR, lexer-less parsing, character-level parsing, single-phase parsing | parsing-text
scatter-gather | Scatter-Gather | aka:  | communication
scatter-gather-dma | Scatter-Gather DMA | aka: DMA descriptor chaining, chained DMA, vectored DMA, Scatter-Gather I/O, vectored I/O, readv/writev, scatter read and gather write | data-flow-buffering
scene-graph | Scene Graph | aka: transform hierarchy, scene tree | data-structures
schedule-table | Schedule Table | aka: time-triggered schedule table, OSEKtime dispatch table, AUTOSAR schedule table | scheduling-time
scheduler | Scheduler | aka:  | scheduling-time
schema-evolution-via-field-tags | Schema Evolution via Field Tags | aka: tagged fields, field numbers, forward/backward-compatible encoding | serialization-framing
scope-guard | Scope Guard | aka: ScopeGuard, defer (Go/Zig analog), gsl::finally | resource-management
scoped-locking | Scoped Locking | aka: Synchronized Block idiom, Guard idiom | synchronization-coordination
sealed-trait | Sealed Trait | aka: C-SEALED, private supertrait sealing, closed trait hierarchy | functional-type-idioms
secondary-index | Secondary Index | aka: non-clustered index, alternate-key index | data-structures
secure-access-layer | Secure Access Layer | aka:  | robustness-security
secure-boot-image-verification | Secure Boot Image Verification | aka: verified boot, authenticated boot, firmware signature verification, signed image check | robustness-security
secure-zeroization | Secure Zeroization | aka: memset_s, explicit_bzero, sensitive-data scrubbing | robustness-security
security-session | Security Session | aka: Session (Yoder & Barcalow), authenticated session object, session token (realization) | robustness-security
segment-tree | Segment Tree | aka: statistic tree, segment tree with lazy propagation (variant) | data-structures
selective-consumer | Selective Consumer | aka: message selector | communication
self-pipe-trick | Self-Pipe Trick | aka: self-pipe, wakeup pipe | synchronization-coordination
semantic-model | Semantic Model | aka:  | parsing-text
semaphore | Semaphore | aka: counting semaphore, binary semaphore, P/V operations | synchronization-coordination
sentinel-value | Sentinel Value | aka: flag value, rogue value, signal value, trip value | error-handling
separated-interface | Separated Interface | aka:  | oo-patterns
sequence-lock | Sequence Lock | aka: seqlock, sequence counter, seqcount | synchronization-coordination
serial-number-arithmetic | Serial Number Arithmetic | aka: sequence number wraparound comparison, RFC 1982 arithmetic | numeric-precision
serialization-proxy | Serialization Proxy | aka:  | serialization-framing
serialized-lob | Serialized LOB | aka:  | serialization-framing
serializer | Serializer | aka:  | serialization-framing
servant | Servant | aka:  | oo-patterns
service-locator | Service Locator | aka: service registry (in-process) | construction-api
service-stub | Service Stub | aka: mock service | testing-constructs
setjmp-longjmp-error-handling | setjmp/longjmp Error Handling | aka: CException, TRY/EXCEPT macros in C, non-local jump error handling, exceptions in C, TRY/EXCEPT macros, Hanson Except module, non-local exit | error-handling
sfinae | SFINAE | aka: Substitution Failure Is Not An Error, enable_if, detection idiom / member detector | functional-type-idioms
shadow-paging | Shadow Paging | aka: shadow pages, shadow copy update | persistence-durability
shadow-register | Shadow Register | aka: register shadowing, software register copy, hardware shadowed/buffered register (vendor variant) | embedded-systems
shared-memory-communication | Shared Memory Communication | aka: Shared Memory Pattern | communication
sharing | Sharing | aka: shared instances, interning, String Interning, atom table, symbol interning | resource-management
shunting-yard-algorithm | Shunting-Yard Algorithm | aka: shunting yard, operator-stack expression parsing, two-stack infix parsing, infix-to-postfix conversion | parsing-text
signals-and-slots | Signals and Slots | aka: signal/slot mechanism | communication
simultaneous-locking | Simultaneous Locking | aka: all-or-none resource locking | synchronization-coordination
single-access-point | Single Access Point | aka: one entry point for security checks, login window (web/GUI realization) | robustness-security
single-event-receptor | Single Event Receptor | aka: single event receptor state machine | state-management
single-table-inheritance | Single Table Inheritance | aka:  | persistence-durability
singleton | Singleton | aka:  | oo-patterns
skip-list | Skip List | aka:  | data-structures
slab-allocator | Slab Allocator | aka: object-caching allocator, slab cache | resource-management
sliding-window-flow-control | Sliding Window Flow Control | aka: sliding window protocol, window-based flow control, go-back-N, selective repeat | communication
sliding-window-rate-limiting | Sliding-Window Rate Limiting | aka: sliding window counter, sliding window log, fixed window counter | data-flow-buffering
slot-map | Slot Map | aka: generational arena, generational index array, handle map | data-structures
slotted-page-layout | Slotted Page Layout | aka: slotted pages, slot directory, slot array page | data-representation
small-buffer-optimization | Small Buffer Optimization | aka: small object optimization (SOO), small string optimization (SSO), inline storage, SBO, small string optimization, small object optimization | resource-management
smart-constructor | Smart Constructor | aka: validating constructor function | construction-api
smart-data | Smart Data | aka: self-checking data, range-checked type | robustness-security
smart-pointer | Smart Pointer | aka:  | resource-management
snapshot-interpolation | Snapshot Interpolation | aka: entity interpolation, state snapshot buffering | data-flow-buffering
snapshot-isolation | Snapshot Isolation | aka: SI | synchronization-coordination
software-module-with-global-state | Software-Module with Global State | aka: global-state module, instance-less module with file-scope state | code-structure
software-rejuvenation | Software Rejuvenation | aka: proactive restart, planned rejuvenation | error-handling
software-timer | Software Timer | aka: RTOS timer, kernel timer, timer object, one-shot timer / auto-reload (periodic) timer, timer service task / timer daemon | scheduling-time
software-transactional-memory | Software Transactional Memory | aka: STM, atomic blocks, transactional memory (software) | synchronization-coordination
sparse-set | Sparse Set | aka: sparse-dense set | data-structures
spatial-partition | Spatial Partition | aka: spatial partitioning, spatial index | data-structures
special-case | Special Case | aka:  | oo-patterns
special-return-value | Special Return Value | aka: in-band error value, sentinel return (NULL, -1, EOF) | error-handling
specification | Specification | aka: specification object | oo-patterns
spinlock | Spinlock | aka: busy-wait lock, spin lock, test-and-set lock | synchronization-coordination
splitter | Splitter | aka:  | communication
spmd | SPMD | aka: single program multiple data | execution-concurrency
sponsor-selector | Sponsor-Selector | aka: sponsor/selector triad | oo-patterns
